type,entry_price,stop_loss,take_profit,position_size,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl_points,pnl_currency,exit_reason
SELL,2032.56,2032.06,2023.4607129333315,21.98,2023.4607129333315,2024-01-08 09:00:00,closed,True,False,0,2023.4607129333315,2024-01-08 13:15:00,9.099287066668467,200.0023297253729,SL/TP
SELL,2031.5,2031.0,2021.7512486568985,20.52,2021.7512486568985,2024-01-08 09:45:00,closed,True,False,0,2021.7512486568985,2024-01-08 13:15:00,9.748751343101503,200.04437756044285,SL/TP
SELL,2025.65,2030.2768130820643,2016.3963738358716,21.61,2016.3963738358716,2024-01-08 13:00:00,closed,False,False,0,2030.2768130820643,2024-01-08 17:00:00,-4.6268130820642455,-99.98543070340834,SL/TP
SELL,2032.53,2032.03,2024.0645188442654,24.33,2024.0645188442654,2024-01-10 14:30:00,closed,True,False,0,2024.0645188442654,2024-01-10 19:45:00,8.465481155734551,205.9651565190216,SL/TP
BUY,2055.36,2043.6397525853915,2078.8004948292173,8.96,2078.8004948292173,2024-01-12 18:15:00,closed,False,False,0,2043.6397525853915,2024-01-12 19:15:00,-11.720247414608593,-105.01341683489301,SL/TP
SELL,2041.01,2045.4059851828758,2032.2180296342483,23.66,2032.2180296342483,2024-01-16 12:45:00,closed,False,False,0,2032.2180296342483,2024-01-16 15:00:00,8.791970365751695,208.0180188536851,SL/TP
SELL,2036.35,2041.0176655681144,2027.0146688637712,22.28,2027.0146688637712,2024-01-16 14:00:00,closed,False,False,0,2041.0176655681144,2024-01-16 15:30:00,-4.667665568114444,-103.99558885758981,SL/TP
SELL,2028.24,2027.74,2016.1597189554236,17.39,2016.1597189554236,2024-01-16 22:15:00,closed,True,False,0,2027.74,2024-01-17 12:30:00,0.5,8.695,SL/TP
SELL,2038.09,2037.59,2015.564070096187,9.33,2015.564070096187,2024-01-16 16:30:00,closed,True,False,0,2015.564070096187,2024-01-17 16:45:00,22.525929903812994,210.16692600257522,SL/TP
SELL,2003.56,2010.5457561559365,1989.5884876881269,15.35,1989.5884876881269,2024-01-17 20:00:00,closed,False,False,0,2010.5457561559365,2024-01-18 02:45:00,-6.985756155936542,-107.23135699362592,SL/TP
SELL,2006.93,2013.8808143217777,1993.0283713564445,15.43,1993.0283713564445,2024-01-17 19:45:00,closed,False,False,0,2013.8808143217777,2024-01-18 09:00:00,-6.950814321777671,-107.25106498502946,SL/TP
SELL,2025.25,2024.75,2001.20416500954,8.74,2001.20416500954,2024-01-16 19:45:00,closed,True,False,0,2024.75,2024-01-19 03:30:00,0.5,4.37,SL/TP
BUY,2035.72,2031.8095391019363,2043.5409217961273,26.89,2043.5409217961273,2024-01-19 15:00:00,closed,False,False,0,2031.8095391019363,2024-01-19 16:15:00,-3.910460898063775,-105.1522935489349,SL/TP
SELL,2021.9,2026.3963435002909,2012.9073129994185,23.15,2012.9073129994185,2024-01-22 09:45:00,closed,False,False,0,2026.3963435002909,2024-01-22 13:45:00,-4.496343500290777,-104.09035203173148,SL/TP
SELL,2020.28,2023.9485204986963,2012.9429590026075,28.09,2012.9429590026075,2024-01-22 23:00:00,closed,False,False,0,2023.9485204986963,2024-01-23 04:30:00,-3.6685204986963527,-103.04874080838054,SL/TP
SELL,2019.95,2024.6818514097101,2010.48629718058,21.78,2010.48629718058,2024-01-22 21:00:00,closed,False,False,0,2024.6818514097101,2024-01-23 05:30:00,-4.731851409710089,-103.05972370348574,SL/TP
SELL,2021.62,2024.8858453118205,2015.0883093763587,31.55,2015.0883093763587,2024-01-22 23:45:00,closed,False,False,0,2024.8858453118205,2024-01-23 05:30:00,-3.2658453118206126,-103.03741958794033,SL/TP
BUY,2029.89,2026.5423574541069,2036.5852850917865,29.86,2036.5852850917865,2024-01-23 07:15:00,closed,False,False,0,2036.5852850917865,2024-01-23 09:00:00,6.695285091786445,199.92121284074327,SL/TP
