type,entry_price,stop_loss,take_profit,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl,exit_reason
SELL,3292.82,3292.32,3234.82,3234.82,2025-08-01 03:44:00,closed,True,False,0,3292.32,2025-08-01 05:56:00,0.5,SL/TP
SELL,3292.46,3291.96,3234.46,3234.46,2025-08-01 04:03:00,closed,True,False,0,3291.96,2025-08-01 05:56:00,0.5,SL/TP
SELL,3293.7,3293.2,3235.7,3235.7,2025-08-01 02:00:00,closed,True,False,0,3293.2,2025-08-01 06:07:00,0.5,SL/TP
SELL,3293.87,3293.37,3235.87,3235.87,2025-08-01 01:51:00,closed,True,False,0,3293.37,2025-08-01 06:08:00,0.5,SL/TP
SELL,3294.06,3293.56,3236.06,3236.06,2025-08-01 01:57:00,closed,True,False,0,3293.56,2025-08-01 06:09:00,0.5,SL/TP
SELL,3291.51,3329.51,3233.51,3233.51,2025-08-01 05:57:00,closed,False,False,0,3329.51,2025-08-01 15:34:00,-38.0,SL/TP
SELL,3292.06,3330.06,3234.06,3234.06,2025-08-01 06:01:00,closed,False,False,0,3330.06,2025-08-01 15:34:00,-38.0,SL/TP
SELL,3291.93,3329.93,3233.93,3233.93,2025-08-01 06:26:00,closed,False,False,0,3329.93,2025-08-01 15:34:00,-38.0,SL/TP
SELL,3292.12,3330.12,3234.12,3234.12,2025-08-01 06:30:00,closed,False,False,0,3330.12,2025-08-01 15:34:00,-38.0,SL/TP
SELL,3291.8,3329.8,3233.8,3233.8,2025-08-01 06:32:00,closed,False,False,0,3329.8,2025-08-01 15:34:00,-38.0,SL/TP
BUY,3373.71,3374.21,3431.71,3431.71,2025-08-05 10:22:00,closed,True,False,0,3374.21,2025-08-06 04:56:00,0.5,SL/TP
BUY,3373.59,3374.09,3431.59,3431.59,2025-08-05 10:24:00,closed,True,False,0,3374.09,2025-08-06 04:56:00,0.5,SL/TP
BUY,3373.44,3373.94,3431.44,3431.44,2025-08-05 10:43:00,closed,True,False,0,3373.94,2025-08-06 04:56:00,0.5,SL/TP
BUY,3372.98,3373.48,3430.98,3430.98,2025-08-05 10:55:00,closed,True,False,0,3373.48,2025-08-06 04:56:00,0.5,SL/TP
BUY,3372.65,3373.15,3430.65,3430.65,2025-08-05 10:21:00,closed,True,False,0,3373.15,2025-08-06 04:57:00,0.5,SL/TP
BUY,3376.6,3377.1,3434.6,3434.6,2025-08-06 09:21:00,closed,True,False,0,3377.1,2025-08-07 11:20:00,0.5,SL/TP
BUY,3377.82,3378.32,3435.82,3435.82,2025-08-06 09:24:00,closed,True,False,0,3378.32,2025-08-07 11:20:00,0.5,SL/TP
BUY,3377.71,3378.21,3435.71,3435.71,2025-08-06 09:26:00,closed,True,False,0,3378.21,2025-08-07 11:20:00,0.5,SL/TP
BUY,3377.62,3378.12,3435.62,3435.62,2025-08-06 09:28:00,closed,True,False,0,3378.12,2025-08-07 11:20:00,0.5,SL/TP
BUY,3377.82,3378.32,3435.82,3435.82,2025-08-06 09:41:00,closed,True,False,0,3378.32,2025-08-07 11:20:00,0.5,SL/TP
BUY,3381.05,3381.55,3439.05,3439.05,2025-08-07 12:14:00,closed,True,False,0,3381.55,2025-08-07 17:02:00,0.5,SL/TP
BUY,3380.18,3380.68,3438.18,3438.18,2025-08-07 11:45:00,closed,True,False,0,3380.68,2025-08-07 17:08:00,0.5,SL/TP
BUY,3380.81,3381.31,3438.81,3438.81,2025-08-07 12:12:00,closed,True,False,0,3381.31,2025-08-07 17:08:00,0.5,SL/TP
BUY,3379.95,3380.45,3437.95,3437.95,2025-08-07 12:45:00,closed,True,False,0,3380.45,2025-08-07 17:08:00,0.5,SL/TP
BUY,3380.08,3380.58,3438.08,3438.08,2025-08-07 14:14:00,closed,True,False,0,3380.58,2025-08-07 17:08:00,0.5,SL/TP
BUY,3382.98,3383.48,3440.98,3440.98,2025-08-07 17:11:00,closed,True,False,0,3383.48,2025-08-08 04:10:00,0.5,SL/TP
BUY,3383.03,3383.53,3441.03,3441.03,2025-08-07 17:26:00,closed,True,False,0,3383.53,2025-08-08 04:10:00,0.5,SL/TP
BUY,3382.24,3382.74,3440.24,3440.24,2025-08-07 17:23:00,closed,True,False,0,3382.74,2025-08-08 04:15:00,0.5,SL/TP
BUY,3382.09,3382.59,3440.09,3440.09,2025-08-07 17:25:00,closed,True,False,0,3382.59,2025-08-08 04:15:00,0.5,SL/TP
BUY,3381.54,3382.04,3439.54,3439.54,2025-08-07 17:10:00,closed,True,False,0,3382.04,2025-08-08 04:21:00,0.5,SL/TP
BUY,3393.63,3394.13,3451.63,3451.63,2025-08-08 09:02:00,closed,True,False,0,3394.13,2025-08-08 11:59:00,0.5,SL/TP
BUY,3393.52,3394.02,3451.52,3451.52,2025-08-08 08:53:00,closed,True,False,0,3394.02,2025-08-08 12:00:00,0.5,SL/TP
