type,entry_price,stop_loss,take_profit,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl,exit_reason
BUY,1761.84,1762.34,1819.84,1819.84,2021-10-12 08:30:00,closed,True,False,0,1762.34,2021-10-13 15:30:00,0.5,SL/TP
BUY,1761.74,1762.24,1819.74,1819.74,2021-10-12 13:30:00,closed,True,False,0,1762.24,2021-10-13 15:30:00,0.5,SL/TP
BUY,1759.43,1759.93,1817.43,1817.43,2021-10-12 21:30:00,closed,True,False,0,1759.93,2021-10-13 15:30:00,0.5,SL/TP
BUY,1761.38,1761.88,1819.38,1819.38,2021-10-13 03:45:00,closed,True,False,0,1761.88,2021-10-13 15:30:00,0.5,SL/TP
BUY,1762.69,1763.19,1820.69,1820.69,2021-10-13 05:15:00,closed,True,False,0,1763.19,2021-10-13 15:30:00,0.5,SL/TP
BUY,1778.77,1779.27,1836.77,1836.77,2021-10-19 13:00:00,closed,True,False,0,1779.27,2021-10-21 14:15:00,0.5,SL/TP
SELL,1769.52,1807.52,1711.52,1711.52,2021-10-20 01:30:00,closed,False,False,0,1807.52,2021-10-22 16:00:00,-38.0,SL/TP
BUY,1786.13,1786.63,1844.13,1844.13,2021-10-21 08:45:00,closed,True,False,0,1786.63,2021-10-22 18:30:00,0.5,SL/TP
BUY,1785.55,1786.05,1843.55,1843.55,2021-10-22 02:00:00,closed,True,False,0,1786.05,2021-10-22 18:30:00,0.5,SL/TP
BUY,1771.63,1772.13,1829.63,1829.63,2021-10-19 18:15:00,closed,True,False,0,1772.13,2021-10-29 16:45:00,0.5,SL/TP
BUY,1770.82,1771.32,1828.82,1828.82,2021-10-19 18:30:00,closed,True,False,0,1771.32,2021-11-03 15:15:00,0.5,SL/TP
BUY,1788.72,1789.22,1846.72,1846.72,2021-10-22 19:00:00,closed,True,False,0,1789.22,2021-10-26 16:45:00,0.5,SL/TP
BUY,1795.14,1795.64,1853.14,1853.14,2021-10-22 20:15:00,closed,True,False,0,1795.64,2021-10-26 15:15:00,0.5,SL/TP
BUY,1795.14,1795.64,1853.14,1853.14,2021-10-22 20:15:00,closed,True,False,0,1795.64,2021-10-26 15:15:00,0.5,SL/TP
BUY,1788.72,1789.22,1846.72,1846.72,2021-10-22 19:00:00,closed,True,False,0,1789.22,2021-10-26 16:45:00,0.5,SL/TP
BUY,1795.31,1795.81,1853.31,1853.31,2021-10-27 22:15:00,closed,True,False,0,1795.81,2021-10-28 17:30:00,0.5,SL/TP
BUY,1796.89,1797.39,1854.89,1854.89,2021-10-27 23:45:00,closed,True,False,0,1797.39,2021-10-28 17:30:00,0.5,SL/TP
BUY,1796.89,1797.39,1854.89,1854.89,2021-10-28 00:00:00,closed,True,False,0,1797.39,2021-10-28 17:30:00,0.5,SL/TP
BUY,1771.63,1772.13,1829.63,1829.63,2021-10-19 18:15:00,closed,True,False,0,1772.13,2021-10-29 16:45:00,0.5,SL/TP
BUY,1770.82,1771.32,1828.82,1828.82,2021-10-19 18:30:00,closed,True,False,0,1771.32,2021-11-03 15:15:00,0.5,SL/TP
BUY,1800.9,1762.9,1858.9,1858.9,2021-10-29 01:15:00,closed,False,False,0,1762.9,2021-11-03 16:00:00,-38.0,SL/TP
BUY,1770.82,1771.32,1828.82,1828.82,2021-10-19 18:30:00,closed,True,False,0,1771.32,2021-11-03 15:15:00,0.5,SL/TP
BUY,1800.9,1762.9,1858.9,1858.9,2021-10-29 01:15:00,closed,False,False,0,1762.9,2021-11-03 16:00:00,-38.0,SL/TP
SELL,1781.09,1780.59,1723.09,1723.09,2021-11-03 12:00:00,closed,True,False,0,1780.59,2021-11-04 13:30:00,0.5,SL/TP
SELL,1786.88,1786.38,1728.88,1728.88,2021-11-02 20:00:00,closed,True,False,0,1786.38,2021-11-04 14:30:00,0.5,SL/TP
BUY,1792.21,1792.71,1850.21,1850.21,2021-11-01 15:45:00,closed,True,False,0,1850.21,2021-11-10 15:30:00,58.0,SL/TP
BUY,1792.21,1792.71,1850.21,1850.21,2021-11-01 15:45:00,closed,True,False,0,1850.21,2021-11-10 15:30:00,58.0,SL/TP
BUY,1828.41,1828.91,1886.41,1886.41,2021-11-10 03:30:00,closed,True,False,0,1828.91,2021-11-10 15:30:00,0.5,SL/TP
BUY,1826.33,1826.83,1884.33,1884.33,2021-11-10 08:15:00,closed,True,False,0,1826.83,2021-11-10 15:30:00,0.5,SL/TP
BUY,1851.13,1851.63,1909.13,1909.13,2021-11-10 15:30:00,closed,True,False,0,1851.63,2021-11-10 17:45:00,0.5,SL/TP
BUY,1861.01,1861.51,1919.01,1919.01,2021-11-15 11:00:00,closed,True,False,0,1861.51,2021-11-16 16:00:00,0.5,SL/TP
BUY,1861.43,1861.93,1919.43,1919.43,2021-11-15 17:00:00,closed,True,False,0,1861.93,2021-11-16 16:00:00,0.5,SL/TP
BUY,1864.43,1864.93,1922.43,1922.43,2021-11-15 18:15:00,closed,True,False,0,1864.93,2021-11-16 16:00:00,0.5,SL/TP
BUY,1863.37,1863.87,1921.37,1921.37,2021-11-15 19:45:00,closed,True,False,0,1863.87,2021-11-16 16:00:00,0.5,SL/TP
BUY,1857.58,1858.08,1915.58,1915.58,2021-11-15 07:15:00,closed,True,False,0,1858.08,2021-11-16 17:00:00,0.5,SL/TP
BUY,1861.21,1823.21,1919.21,1919.21,2021-11-16 18:00:00,closed,False,False,0,1823.21,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1861.74,1823.74,1919.74,1919.74,2021-11-17 13:45:00,closed,False,False,0,1823.74,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1862.86,1824.86,1920.86,1920.86,2021-11-17 17:45:00,closed,False,False,0,1824.86,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1866.31,1828.31,1924.31,1924.31,2021-11-17 18:45:00,closed,False,False,0,1828.31,2021-11-22 16:00:00,-38.0,SL/TP
BUY,1864.04,1826.04,1922.04,1922.04,2021-11-17 21:45:00,closed,False,False,0,1826.04,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1866.31,1828.31,1924.31,1924.31,2021-11-17 18:45:00,closed,False,False,0,1828.31,2021-11-22 16:00:00,-38.0,SL/TP
BUY,1861.21,1823.21,1919.21,1919.21,2021-11-16 18:00:00,closed,False,False,0,1823.21,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1861.74,1823.74,1919.74,1919.74,2021-11-17 13:45:00,closed,False,False,0,1823.74,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1862.86,1824.86,1920.86,1920.86,2021-11-17 17:45:00,closed,False,False,0,1824.86,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1864.04,1826.04,1922.04,1922.04,2021-11-17 21:45:00,closed,False,False,0,1826.04,2021-11-22 16:15:00,-38.0,SL/TP
SELL,1790.14,1789.64,1732.14,1732.14,2021-11-25 18:30:00,closed,True,False,0,1789.64,2021-11-29 01:30:00,0.5,SL/TP
SELL,1789.53,1789.03,1731.53,1731.53,2021-11-25 18:45:00,closed,True,False,0,1789.03,2021-11-29 01:30:00,0.5,SL/TP
SELL,1788.42,1787.92,1730.42,1730.42,2021-11-25 19:45:00,closed,True,False,0,1787.92,2021-11-29 01:00:00,0.5,SL/TP
SELL,1788.42,1787.92,1730.42,1730.42,2021-11-25 20:00:00,closed,True,False,0,1787.92,2021-11-29 01:00:00,0.5,SL/TP
