type,entry_price,stop_loss,take_profit,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl,exit_reason
BUY,1759.07,1759.57,1817.07,1817.07,2021-10-11 05:15:00,closed,True,False,0,1759.57,2021-10-12 20:15:00,0.5,SL/TP
BUY,1757.5,1758.0,1815.5,1815.5,2021-10-11 17:45:00,closed,True,False,0,1758.0,2021-10-12 20:15:00,0.5,SL/TP
BUY,1761.84,1762.34,1819.84,1819.84,2021-10-12 08:30:00,closed,True,False,0,1762.34,2021-10-13 15:30:00,0.5,SL/TP
BUY,1761.38,1761.88,1819.38,1819.38,2021-10-13 03:45:00,closed,True,False,0,1761.88,2021-10-13 15:30:00,0.5,SL/TP
BUY,1762.69,1763.19,1820.69,1820.69,2021-10-13 05:15:00,closed,True,False,0,1763.19,2021-10-13 15:30:00,0.5,SL/TP
SELL,1753.12,1791.12,1695.12,1695.12,2021-10-11 11:45:00,closed,False,False,0,1791.12,2021-10-13 17:30:00,-38.0,SL/TP
SELL,1754.61,1792.61,1696.61,1696.61,2021-10-11 13:30:00,closed,False,False,0,1792.61,2021-10-13 17:30:00,-38.0,SL/TP
BUY,1792.06,1792.56,1850.06,1850.06,2021-10-13 18:15:00,closed,True,False,0,1792.56,2021-10-22 18:30:00,0.5,SL/TP
BUY,1794.32,1794.82,1852.32,1852.32,2021-10-13 18:30:00,closed,True,False,0,1794.82,2021-10-22 18:30:00,0.5,SL/TP
BUY,1791.82,1792.32,1849.82,1849.82,2021-10-13 20:45:00,closed,True,False,0,1792.32,2021-10-22 18:30:00,0.5,SL/TP
BUY,1791.0,1791.5,1849.0,1849.0,2021-10-13 21:15:00,closed,True,False,0,1791.5,2021-10-22 18:30:00,0.5,SL/TP
BUY,1792.38,1792.88,1850.38,1850.38,2021-10-13 23:00:00,closed,True,False,0,1792.88,2021-10-22 18:30:00,0.5,SL/TP
BUY,1792.06,1792.56,1850.06,1850.06,2021-10-13 18:15:00,closed,True,False,0,1792.56,2021-10-22 18:30:00,0.5,SL/TP
BUY,1794.32,1794.82,1852.32,1852.32,2021-10-13 18:30:00,closed,True,False,0,1794.82,2021-10-22 18:30:00,0.5,SL/TP
BUY,1791.82,1792.32,1849.82,1849.82,2021-10-13 20:45:00,closed,True,False,0,1792.32,2021-10-22 18:30:00,0.5,SL/TP
BUY,1791.0,1791.5,1849.0,1849.0,2021-10-13 21:15:00,closed,True,False,0,1791.5,2021-10-22 18:30:00,0.5,SL/TP
BUY,1792.38,1792.88,1850.38,1850.38,2021-10-13 23:00:00,closed,True,False,0,1792.88,2021-10-22 18:30:00,0.5,SL/TP
BUY,1799.54,1800.04,1857.54,1857.54,2021-10-25 12:30:00,closed,True,False,0,1800.04,2021-10-26 10:45:00,0.5,SL/TP
BUY,1799.7,1800.2,1857.7,1857.7,2021-10-25 13:30:00,closed,True,False,0,1800.2,2021-10-26 10:45:00,0.5,SL/TP
BUY,1794.13,1794.63,1852.13,1852.13,2021-10-26 22:00:00,closed,True,False,0,1794.63,2021-10-28 17:30:00,0.5,SL/TP
BUY,1794.52,1795.02,1852.52,1852.52,2021-10-27 18:45:00,closed,True,False,0,1795.02,2021-10-28 17:30:00,0.5,SL/TP
BUY,1808.17,1770.17,1866.17,1866.17,2021-10-25 18:45:00,closed,False,False,0,1770.17,2021-11-03 15:15:00,-38.0,SL/TP
BUY,1803.62,1765.62,1861.62,1861.62,2021-10-26 15:00:00,closed,False,False,0,1765.62,2021-11-03 16:00:00,-38.0,SL/TP
SELL,1786.93,1786.43,1728.93,1728.93,2021-10-26 17:30:00,closed,True,False,0,1786.43,2021-11-01 04:15:00,0.5,SL/TP
BUY,1801.4,1763.4,1859.4,1859.4,2021-10-28 20:45:00,closed,False,False,0,1763.4,2021-11-03 16:00:00,-38.0,SL/TP
BUY,1800.9,1762.9,1858.9,1858.9,2021-10-29 01:15:00,closed,False,False,0,1762.9,2021-11-03 16:00:00,-38.0,SL/TP
SELL,1786.93,1786.43,1728.93,1728.93,2021-10-26 17:30:00,closed,True,False,0,1786.43,2021-11-01 04:15:00,0.5,SL/TP
BUY,1808.17,1770.17,1866.17,1866.17,2021-10-25 18:45:00,closed,False,False,0,1770.17,2021-11-03 15:15:00,-38.0,SL/TP
BUY,1803.62,1765.62,1861.62,1861.62,2021-10-26 15:00:00,closed,False,False,0,1765.62,2021-11-03 16:00:00,-38.0,SL/TP
BUY,1801.4,1763.4,1859.4,1859.4,2021-10-28 20:45:00,closed,False,False,0,1763.4,2021-11-03 16:00:00,-38.0,SL/TP
BUY,1800.9,1762.9,1858.9,1858.9,2021-10-29 01:15:00,closed,False,False,0,1762.9,2021-11-03 16:00:00,-38.0,SL/TP
SELL,1782.48,1781.98,1724.48,1724.48,2021-11-01 08:45:00,closed,True,False,0,1781.98,2021-11-04 13:30:00,0.5,SL/TP
SELL,1761.13,1799.13,1703.13,1703.13,2021-11-03 17:00:00,closed,False,False,0,1799.13,2021-11-05 10:15:00,-38.0,SL/TP
BUY,1793.66,1794.16,1851.66,1851.66,2021-11-04 17:30:00,closed,True,False,0,1851.66,2021-11-10 15:30:00,58.0,SL/TP
BUY,1792.43,1792.93,1850.43,1850.43,2021-11-04 18:45:00,closed,True,False,0,1850.43,2021-11-10 15:30:00,58.0,SL/TP
BUY,1791.01,1791.51,1849.01,1849.01,2021-11-05 00:15:00,closed,True,False,0,1849.01,2021-11-10 15:30:00,58.0,SL/TP
BUY,1791.37,1791.87,1849.37,1849.37,2021-11-05 00:45:00,closed,True,False,0,1849.37,2021-11-10 15:30:00,58.0,SL/TP
BUY,1799.3,1799.8,1857.3,1857.3,2021-11-05 15:45:00,closed,True,False,0,1857.3,2021-11-10 16:15:00,58.0,SL/TP
BUY,1793.66,1794.16,1851.66,1851.66,2021-11-04 17:30:00,closed,True,False,0,1851.66,2021-11-10 15:30:00,58.0,SL/TP
BUY,1792.43,1792.93,1850.43,1850.43,2021-11-04 18:45:00,closed,True,False,0,1850.43,2021-11-10 15:30:00,58.0,SL/TP
BUY,1791.01,1791.51,1849.01,1849.01,2021-11-05 00:15:00,closed,True,False,0,1849.01,2021-11-10 15:30:00,58.0,SL/TP
